"Orgunit ID","Data ID","Orgunit name","Data","Jan 21","Fév 21","Mar 21","Avr 21","Mai 21","Jun 21","Jul 21","Aou 21","Sep 21","Oct 21","Nov 21","Déc 21","Max Z score","Max modified Z score","Gap weight","Outlier weight","Total weight"
"wvzN1KcMmlY","vjcW5oMGXtK","Centre de Sante Prive Protestant de Yoko","RMA2017_4. Nombre de femmes enceintes  recues en CPN 4 et + au cours du mois","","","","","","","","5.0","2.0","","","","0.71","0.67","35","0","35"
"RSmXTchRJqY","vjcW5oMGXtK","CMA de Ndjole","RMA2017_4. Nombre de femmes enceintes  recues en CPN 4 et + au cours du mois","1.0","1.0","","1.0","1.0","2.0","4.0","","","","","","1.93","0","6","0","6"
"nZc3rqI1Nji","vjcW5oMGXtK","CS PRIVE LES PREMICES","RMA2017_4. Nombre de femmes enceintes  recues en CPN 4 et + au cours du mois","","","","","","","","1.0","","","","","0","0","11","0","11"
"shfmo34VyRC","vjcW5oMGXtK","CSI DE MINFOUMBE","RMA2017_4. Nombre de femmes enceintes  recues en CPN 4 et + au cours du mois","","","","","","","2.0","3.0","1.0","","1.0","","1.31","2.02","12","0","12"
"D0qDi21TvD6","vjcW5oMGXtK","CSI Doume","RMA2017_4. Nombre de femmes enceintes  recues en CPN 4 et + au cours du mois","","","","","","","","","","11","","","0","0","121","0","121"
"sR6JNlTJ0to","vjcW5oMGXtK","CSI Kong","RMA2017_4. Nombre de femmes enceintes  recues en CPN 4 et + au cours du mois","12","5.0","1.0","3.0","","","","","","","","","1.41","2.7","32","0","32"
"S3j43hvIIYT","vjcW5oMGXtK","CSI Linte","RMA2017_4. Nombre de femmes enceintes  recues en CPN 4 et + au cours du mois","","","","","","1.0","1.0","","","","","","0","0","10","0","10"
"XPlWSsf0gSI","vjcW5oMGXtK","CSI Mangai","RMA2017_4. Nombre de femmes enceintes  recues en CPN 4 et + au cours du mois","","2.0","","1.0","","2.0","2.0","1.0","2.0","","1.0","1.0","0.94","0.67","6","0","6"
"N9jOjZrqhQv","vjcW5oMGXtK","CSI Mankim","RMA2017_4. Nombre de femmes enceintes  recues en CPN 4 et + au cours du mois","1.0","1.0","","6.0","4.0","","1.0","1.0","","","1.0","1.0","2.08","0","4","5","9"
"yV5XcYr80br","vjcW5oMGXtK","CSI Mbeng-Mbeng","RMA2017_4. Nombre de femmes enceintes  recues en CPN 4 et + au cours du mois","","","","","","","","","5.0","4.0","","","0.71","0.67","45","0","45"
